頻道名稱,頻道ID,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
SHINTOKIチャンネル,UCAO5hqWHOS-lLs5szkOAKEQ,https://www.youtube.com/@shintoki_vt,2021-04-21,60,3765,26,
希里是隻羊 Ch.,UCQ9pl7n6F94LrPqZFPl1sdg,https://www.youtube.com/@siri_is_a_sheep1213,2022-09-02,82,940,27,
That Must Golive,UCnYcVDWxQXKBqM7oIRAx9Jg,https://www.youtube.com/@thatmustgolive561,2021-02-03,12,920,27,That Must Golive
猫屋田幽霊,UC1AtF4gbav5hgPrFFzptM9Q,https://www.youtube.com/@user-rc2du4cv3i,2012-07-04,30,239,27,
玉央草屋,UCU5DYhcbbu7XwcYnT-YWcYA,https://www.youtube.com/@user-un2hy4ju6d,2021-05-04,3,83,28,
PERISTI,UC_SycjVrYJj_35CgLMdTM7A,https://www.youtube.com/@peristi1508,2022-01-26,3,441,28,PERISTI
玉子將軍 - (玉子しょうぐん),UC-vYhb78Njbhcqm5u1XPXYA,https://www.youtube.com/@user-ch5qh5de7g,2012-10-16,4,169,28,
安醬,UCIHbuwTjB9ItyR8Bfn5nl-A,https://www.youtube.com/@estateangela,2012-08-02,73,1216,29,
Akabane Aka,UCRC6BYcKlqrmBFTsgUw-yRQ,https://www.youtube.com/@akabaneaka8795,2022-08-05,7,211,31,
星空 玖実,UCxChXf3ozCdtnDZ9PrwFFOQ,https://www.youtube.com/@user-cd9hv5fy7i,2013-01-13,15,255,29,
弄臣‧茨巴薩 Ch.,UCWlZg3XroJR_wYVvBkbntQg,https://www.youtube.com/@tsubasavt,2021-05-02,27,1219,30,
琲世佐.vt.channel,UC-2Cy2ClwbpZIyWwfvvMLOg,https://www.youtube.com/@vtchannel-gb7yb,2021-07-10,9,398,31,
杜桑 Ch.萬事屋老闆,UC6ecDHM9ykjyo1skAmtVV7g,https://www.youtube.com/@doson0606,2022-06-08,3,33,33,孤島植物園
莉菟產品供應中心🐰,UC3Pk2JO5JO4OQHFFvbeUJkw,https://www.youtube.com/@li_tu520,2022-12-27,9,23846,33,
Sushi sing!! ch. 沉沒壽司！！,UCdsVMkt5YAlc2PAKxDDvzgA,https://www.youtube.com/@sushisingch.,2021-05-06,258,1974,32,
AeroKhai,UC6pB0ERKyPnzHA8Pw-tKjYA,https://www.youtube.com/@aerokhai,2012-02-19,6,2884,33,
Ruby Valentine ch.,UCTKrNCsMkhuKEtKD4zUNPEQ,https://www.youtube.com/@rubyvalentinech.1520,2021-07-13,22,1771,45,
諾里 / Norie,UCw1pkppcp-AZwfQsyG77jGg,https://www.youtube.com/@norieee_v,2022-07-01,47,466,35,
千日紅,UCegA4Kc4jdjbSgF2OdCZCZw,https://www.youtube.com/@user-sz2cc3xb1d,2021-06-28,2,172,35,
戶河鈴,UCQjUMjx_L2CjN2raUrKP2lQ,https://www.youtube.com/@koka_rei,2022-01-28,3,169,35,
眠夢プリン,UCb1tDB00x9DP_Qn7DC2hPdw,https://www.youtube.com/@nemupurin,2022-05-06,6,431,35,
落楠楠,UCbUDh7XSrxMcVIZaLm0i6VQ,https://www.youtube.com/@user-ht3qp5xq4o,2021-04-26,20,142,35,
風鈴芽依TrumpetMei,UCqGc7k1n0qX6fdaheGtUm9Q,https://www.youtube.com/@trumpetmei,2022-12-20,2,167,36,
Yanto Gorenji ch. 楊桃武蓮子,UCXDLxSCxgdrypFZYk0Q1zog,https://www.youtube.com/@yantogorenjich.8975,2021-03-10,14,1080,36,
越月YUEYUE ch.,UCRWIlUxJ_AuJL89ULDBuntg,https://www.youtube.com/@yueyuech.5280,2021-09-07,18,714,36,
沁涵ハン,UCI_6AnPlj7zIqIwgEM-MH1A,https://www.youtube.com/@user-ql1gl4jh3j,2014-03-03,30,691,37,
白貓月,UCNKSa8esh9fRIbQkbkl6ZEg,https://www.youtube.com/@user-ks7tx5kr4j,2021-07-26,34,757,36,
七空赤龍 Ryū 閃現系V,UCpDiNJzR8yw9znSETqk3YdQ,https://www.youtube.com/@ryuv794,2021-11-06,34,1067,36,
むむらら,UCD9o6K6E8bA2vGfKnS0QcYQ,https://www.youtube.com/@mumurara,2022-03-11,64,1461,36,
Ian Tips,UC1zMLyyOd74oJlioTYf-zww,https://www.youtube.com/@iantips3181,2021-01-18,1,61,37,
2常者 ch.,UCerWX092-Voj2okII36BiJg,https://www.youtube.com/@danballxphantom,2021-06-30,5,409,37,
Vtuber手偷洗-sotosi,UCJ5pwSYLz8WMOSPvCJys7RQ,https://www.youtube.com/@vtuber-sotosi6549,2021-02-20,14,1292,37,
Giyuu Ch. 名津義勇【HKvtuber】,UCHliItlbzEhLQBt-RwQZ1jA,https://www.youtube.com/@giyuuch.hkvtuber7627,2014-03-15,7,662,38,
芯夏sam1_haa6 ch.[hkv],UCuQuiEqnBOl8sP0TedA8OMw,https://www.youtube.com/@sam_haachhkv,2021-05-10,1,422,39,
諾兒。NOR,UCAFD57fcL6lGhON48Ujm1wg,https://www.youtube.com/@nor8804,2022-04-17,2,216,39,
Yomanana Ch.夜魔柒柒,UCUsm7jXB8bBSAqbe4P6E5jQ,https://www.youtube.com/@yomananach.3422,2021-10-28,3,201,39,
泉花 Mizuka.,UCXknZnuOkoKd_OHcpe6YqjA,https://www.youtube.com/@mizuka.3721,2021-06-18,7,912,39,
Vito Valentaila【香港VTuber】,UCYqYlGOVNllzCzgN8T56CjA,https://www.youtube.com/@vitovalentailavtuber4595,2021-02-13,1,170,40,
木綿千捺,UC5emUFtQ2V_DYceGrE-zmZg,https://www.youtube.com/@user-yn8xz2ew7c,2022-04-01,7,263,40,2VR_Studio
花生_ピーナッツ(peanut_tw_),UCz1Tloe9TV-HJoRZ_ZAO72g,https://www.youtube.com/@_peanut_tw_,2016-11-07,10,239,40,
UU ch. 金星ゆゆ,UCvdFXGU3Mr45A81gMtWbiLg,https://www.youtube.com/@uuch.,2021-02-06,133,3142,40,
Shirayuki Ran,UCJfu5FF-_W-XDw8efv_uzYA,https://www.youtube.com/@shirayukiran824,2022-08-10,11,335,41,
達可普普,UCxVl5AILVVZkAJ5jG-DT9oQ,https://www.youtube.com/@user-jh3xb8lv6f,2022-05-27,3,305,42,
星星君,UCpMR78iRYK9rq248iYjaLhA,https://www.youtube.com/@user-gy6dc7bg4r,2022-06-21,3,219,42,
Natsuki ch.夏季,UC8zjoHWGcuR1nhAjRpdXngg,https://www.youtube.com/@natsukich.6477,2021-05-11,14,885,42,
穗宮七眠🌾,UCuF_n2qdSthZ7ij-v4YonCw,https://www.youtube.com/@user-ti2ql3rh7u,2021-10-06,1,71,43,
Ryujin Hibiki Ch. 龍神響,UCBtpVCz2PrJtHWxkLRRY2kw,https://www.youtube.com/@ryujinhibiki,2022-05-07,9,500,43,
Hishiki Murasaki,UChQBSXLySAXLGzNQ5DUSFww,https://www.youtube.com/@hishikimurasaki,2022-08-03,21,506,43,
OUSEI CH.櫻晴,UCQNpyJx_2GdC6-AovWq3uYQ,https://www.youtube.com/@ouseich.5204,2022-01-18,41,1165,43,
黑眼圈 Heiyanquan Ch.,UCf_HqxXl8uIgtJsQ16VorDg,https://www.youtube.com/@heiyanquanch.4860,2021-07-10,58,3938,43,
TiaVannessa_Ch.,UCu5OH-wv3f5G3LUvhd56-Jw,https://www.youtube.com/@tia_vannessa,2023-02-20,11,166,45,
黛菲Delvi,UCvfR_2pdsb8L0jaqOt42qHA,https://www.youtube.com/@delvi0115,2022-12-30,50,390,45,
Shouta Channel (叶翔太),UCg29YbdVtpQ6ef7UBPcEFQQ,https://www.youtube.com/@shoutachannel6803,2020-12-12,73,2500,44,
羊咩,UCJYeT24Knevv3VvOr4-QSlw,https://www.youtube.com/@user-ty4sm1ii1m,2021-07-13,4,475,45,
花見白霖@Hanami_Hakurin ch.,UC1G16SF3I8oi1IKguC_9LgQ,https://www.youtube.com/@hanamihakurin,2016-10-24,5,171,45,
藍藍星球廣播電台,UC6qOCDGMYrhO2uaYd17cX-A,https://www.youtube.com/@bpr_studio,2021-06-03,5,630,46,
 Milo Ch.  米洛,UCVPIna9dM6BmgrH1HYfhSNA,https://www.youtube.com/@milo_wolf,2021-05-11,9,119,46,
隆理TakaSato ch.,UCTRvtixEOu2cg0jSVJUzSHg,https://www.youtube.com/@takasatoch.0131,2022-08-28,21,657,46,
一隻叫做澄櫻的喵,UC4PDumhvirtYXe2MKNCBzjQ,https://www.youtube.com/@sumi0922,2020-08-21,24,1060,46,
可亞貝洛斯 Ch. Koa,UCq63K1mOAomOQqPhMasMOwg,https://www.youtube.com/@chkoa,2021-09-07,2,124,47,
凜冬 月_CH.,UC_5EhwkhymK5qHNQytbf6OA,https://www.youtube.com/@_ch.7536,2021-10-27,8,703,47,
夢郷リラCh.,UC5KbzJLM0t64OAlWKlCfEcg,https://www.youtube.com/@lilas_dreaming,2021-01-16,16,713,47,
悠璐Yuru,UCmLnlzVnzZqxCNLzG_u4-rA,https://www.youtube.com/@yuru5525,2022-02-26,17,584,47,
Flosterna channel,UCZnm108BAAWw0gZW2TbrpQA,https://www.youtube.com/@flosternachannel1785,2021-03-14,22,980,47,E.M project
卡皮Capy,UCW47f4uG0_QEQYeahDLGgqA,https://www.youtube.com/@capy5834,2021-09-10,40,1127,47,
Kono Dino,UCGiicoX2UnKZYJ1J48_JULg,https://www.youtube.com/@konodino9089,2022-03-16,2,841,48,
解秋心 Choshin,UCOk9tcAUM705Gqmtwxa2OIA,https://www.youtube.com/@choshin1525,2021-08-18,19,923,48,
茶米醬,UCsUC5-xwYmKXSwf-MEF2mqQ,https://www.youtube.com/@chiami911,2016-09-16,34,153,47,
NaRu Ch.,UC_byZjnANJmcDTs0zVJJsQQ,https://www.youtube.com/@naruuuu1013,2022-01-08,33,251,49,
恢糜爾Whirlmee,UC_ZquMhoJiwPznGavsxN3oA,https://www.youtube.com/@whirlmee1878,2022-02-23,44,1681,48,
XiaoKang Ch. 小康,UCjvz_CpYdEGdyiFI8mlWnMg,https://www.youtube.com/@xiaokangch.,2021-11-13,85,1712,49,
瑞斯柏·芭樂【StRineOffice】,UCsfnNXFXulW8a5lAFD_UeGQ,https://www.youtube.com/@dadadabale,2022-06-25,4,494,50,
Zssa Alton Ch. 之沙Zssa,UCx8vv99VRAJIkH8Ovv9HlNw,https://www.youtube.com/@zssaalton,2015-09-06,27,507,50,
戀愛女子肌肉學院,UCYHmdkRtkD1nt7XQO8QQEbw,https://www.youtube.com/@1206wil.m.a,2022-04-12,43,1294,50,戀愛女子肌肉學院
Hana Ch.葉奈ちゃん,UCYwIou8tS4N10gODwWcxVvA,https://www.youtube.com/@hanach.0725,2021-04-09,2,487,51,
大油桶 Oil Tank DailouLive,UCTCcVYdexHgim1-khLtxTAQ,https://www.youtube.com/@oiltankdailoulive25,2021-04-17,15,381,51,DailouLive
艾登魯那・諾克斯(Aeteruna Nox),UCd4LxNfC1G7nIN_BmqTPL0w,https://www.youtube.com/@aeterunanox8770,2022-05-15,23,975,50,
貓吉拉ねこジラ,UCwoNocDpKW-JR87dn4dllow,https://www.youtube.com/@nekoyn525,2021-07-19,4,293,51,
優姬Yuki,UCoehpx7uZAlFMpiDIrkL_AA,https://www.youtube.com/@yuki9955,2015-11-10,18,1251,53,
KamijimaGao Ch. 神嶋牙吠,UCod6um0arfP3wkbkcbl5vPw,https://www.youtube.com/@kamijimagaoch.6588,2021-10-07,37,3891,53,
狐姉るな Kitsuneeruna Ch.,UCX4XqTJo-H3z8x_eGyGorIA,https://www.youtube.com/@kitsuneeruna_yt,2023-02-05,7,533,57,
Mutianliao Ch. 古榊沐天蓼,UC5eQk7TJU5eH2gAwTpalaPg,https://www.youtube.com/@gushenmutianliao,2022-07-01,36,666,53,
MitsuΛki Not Safe,UCJtDtV3mBzkd61blOr9Pofg,https://www.youtube.com/@test___mitsuaki,2020-03-13,6,1893,54,E.M project
 天真爛漫Noel諾亞天天想過年Vtuber,UCWhGk5trPRO9WiD0z46sWyA,https://www.youtube.com/@noel888noel,2022-02-28,10,767,56,
云DOU,UCt-gv-ztQb45hzUjMy3nVDw,https://www.youtube.com/@doudouuu,2020-08-04,15,681,55,
Elidi Hex,UCLsbbsaRWHcnD7N8Gm-_ANg,https://www.youtube.com/@elidihex,2022-09-29,49,2027,55,
Fuyutsuki / 和泉ふゆつき,UCQ1epGWwYs_FWBfROWpB_hw,https://www.youtube.com/@izumi_fuyutsuki,2019-09-20,7,659,61,
Simari Ch. 悠音島梨,UCxMPjmT6fesRkpLsn0dS4xw,https://www.youtube.com/@simarich.9701,2021-05-18,18,6482,59,
寒月凌－散發香甜氣味的麻糬兔,UC-3QtO02Xevs1mxgI_3SAnA,https://www.youtube.com/@moonicelin,2014-12-08,35,1112,58,
♫蘿姆♫    ロム / Rom,UCoAazyPiWP0BuuS45w_UV9Q,https://www.youtube.com/@rom-2378,2011-12-17,140,2523,58,
Inesu,UCxtzTNZEbqofLELBVIXAa3g,https://www.youtube.com/@inesu6276,2022-01-25,3,79,58,
Bacon蛋面,UCYS6HuM9L9FViwkx8NTVDIg,https://www.youtube.com/@bacon6784,2021-04-17,5,377,59,DailouLive
墨雨moyu,UCuPW4Ag_Oj7YyulmmmB-p2g,https://www.youtube.com/@moyu4873,2014-02-13,23,1045,59,
理澄 / Rizumu【PERISTI】,UCKPZ8-kWwhmDvAQ85K51FyQ,https://www.youtube.com/@rizumuperisti2890,2020-07-27,35,1431,59,E.M project
檸檬【香港Vtuber】,UCv69jSviUA-etvUliAOiQVg,https://www.youtube.com/@vtuber2233,2021-11-01,199,4475,59,
猴吱,UCi2-UG3TR_2B_Tpnz6untOg,https://www.youtube.com/@user-fq5ir8oc3z,2021-06-21,4,333,60,
長嶋　蕾【長嶋　つぼみ】,UCBam70J2mzsV7bnYJ8ExeMA,https://www.youtube.com/@nagashima0623,2022-07-17,8,395,70,
卡珥斯 KarlsWhite Ch.,UCeHNz638cUC1slOTSfTo8RA,https://www.youtube.com/@karlswhitech.2644,2021-05-30,28,1202,60,Missing失蹤人口
Flower大宇宙花,UCWMGMyI8TCcva5qhqQSdIQg,https://www.youtube.com/@flower8276,2021-04-13,63,2950,60,DailouLive
吉恩哪天吃過藥,UCBI313vfa0ynUKpoFBj1NVg,https://www.youtube.com/@jinkusaka11,2019-02-22,101,3693,60,甘甜糖罐頭
望月貓音 ch.,UC599LnTiB82gbermxQvXaUA,https://www.youtube.com/@ch.7595,2021-12-03,1,122,61,
墨伊_MoY,UCz-Q0CjEfb9pyWmWXWmloMg,https://www.youtube.com/@moymyow,2013-10-21,11,330,62,
芮德G碧露,UC-TqXNFTrowTFf7KK5Rilbg,https://www.youtube.com/@user-eh1ry8yc5s,2021-06-05,17,696,61,
薩摩喵,UCw9-DLqivO5FdGNSoo0MgXQ,https://www.youtube.com/@samomeow,2022-01-28,38,6467,62,
Gel'xcy ch. 星子 鹿見,UCN8M7ss0vWB1EmypGfYSAVQ,https://www.youtube.com/@gelxcych.8296,2021-09-27,115,2040,62,
Sakura Miyo Ch. 咲来みよ,UCuJlq62bxPU65516p0mquvA,https://www.youtube.com/@sakuramiyo_626,2022-02-22,2,91,63,【PxS】Vtuber創作工作室
Raymond&Bianca / 雷蒙&碧安卡【加百列小隊】,UCUp7RACvGtYc4MIccpoa8Sg,https://www.youtube.com/@raymondbianca227,2022-09-09,13,1847,63,
小夜Yoru Ch.,UCBpgX2OSYuX6keQf-Wls1MA,https://www.youtube.com/@yoru_yn,2021-09-13,66,1828,63,Epoch Studio
蛤蜊Geli 🌋混沌爆走系Vtuber,UCt3STiUq_JDPYjpVzgCHVdA,https://www.youtube.com/@gelielf7,2021-09-18,10,566,64,
Ice_nagi ch. アイス ナギ,UCFp1xo0wABndHH2-jg_n6FQ,https://www.youtube.com/@ice_nagi,2014-05-31,12,1074,64,
 あさゆき / 淺雪,UC2GmYch1IP8oY6dWBxwZDsQ,https://www.youtube.com/@ch.8261,2021-12-05,16,705,64,
噗伊噗伊puipui Ch.,UC5CA_VCFPwlU3w7JnV2ZWFQ,https://www.youtube.com/@puipuich.3500,2021-06-09,31,801,64,
辛爾娜·佛羅倫絲  Cilna Florence Ch.,UC3bHoYjizwCRU7GHpXiv97A,https://www.youtube.com/@cilna_f,2022-06-14,1,90,66,
Miyuu Ch. 美宇,UCSKnKubaoWZ6b7zpkiUyLag,https://www.youtube.com/@miyuuch.6453,2020-12-26,31,2792,66,
Cockatiel BaBu ch. 玄鳳叭噗,UCVj75pTmWZ6VJJA4R0dO5Dg,https://www.youtube.com/@cockatielbabuch.6666,2021-07-08,35,1048,66,
羽田鴆 Chin Haneda,UCwTtjd8Xi8GhwQmEk6z1niA,https://www.youtube.com/@chinhaneda,2022-04-28,41,761,66,
Olivia Ch.奧莉薇雅,UCoe5YUHco-QHc-i5lbjAobA,https://www.youtube.com/@olivia.vtuber092,2022-09-23,2,88,67,
Hyakki Riku. 百鬼陸,UCvVfK5duKs9wgQd4G68uI9w,https://www.youtube.com/@hyakkiriku,2021-10-03,46,1923,67,
Yato ch.灰上 ヤト【HKvtuber】,UCiQR0TtaG0tuGsxxwE68-lA,https://www.youtube.com/@yatoonii-chan,2021-07-17,161,3866,67,
空三小KukiMitsuo [HKVtuber],UCRcUJvyEjTVxRpT1AbOVPBQ,https://www.youtube.com/@kukimitsuohkvtuber9003,2021-04-18,21,3075,68,
Harusaki Ch.境花春咲,UCek8qzExbxzuVLp4U2fzavw,https://www.youtube.com/@harusakich.4113,2021-03-20,32,1306,68,
Kano Ryuusuke Ch.,UC0JF2Qp4GCa2-lyJJ5huJMg,https://www.youtube.com/@kanoryuusukech.6004,2020-07-01,85,1333,68,
BLOSSOMY OFFICIAL【HKVtuber】,UC14NBKA2LemUT2bT90FyYvg,https://www.youtube.com/@blossomyofficialhkvtuber5091,2021-05-05,5,1425,69,BLOSSOMY
天気卡月 / Tenki Katsuki,UCWnQY4o7Hn1LxmGQQNCQPUA,https://www.youtube.com/@tenkikatsuki1824,2020-12-23,27,1040,69,2VR_Studio
可爾敏•優幽 Youyou•Kermin ch.,UCqRirz-ixLTmt-grzDC6njw,https://www.youtube.com/@chkermin,2021-06-20,2,44,70,
哆哩哆卡  iamca6,UCW_559Q38YK-NVkd1AxfinQ,https://www.youtube.com/@iamca6_,2022-04-17,15,1265,70,
Doctor Dora Ch. / 菂菂 [TW VTuber],UCAXO_P5RaXT8DRAV_Mbf2pg,https://www.youtube.com/@doctordoravt,2022-09-25,27,864,69,
Hareta ch. 櫻野はれた,UCB9e4N2g4F7rZlnBY-XMQ_A,https://www.youtube.com/@haretach.9043,2021-07-09,2,1483,71,
清嵐Arashi,UCsgb4Or7fLczFuKk4Wh4pZA,https://www.youtube.com/@arashi6774,2022-03-16,1,362,72,Crossspace穿越次元
暁月闇夜.Channel,UCwNTysyZXTow0UIIEKUZTPw,https://www.youtube.com/@channel-ml1sc,2021-07-12,10,1481,72,
茜音噠喵,UCr-sQ4c9wsZ1adVjtfwQLYw,https://www.youtube.com/@user-qs3un1ts5m,2021-08-07,11,499,72,
丑時云云yunyun ch.,UCkwoAaTAoVAF94Kgoixereg,https://www.youtube.com/@yunyunch.2383,2022-03-31,30,2811,73,
夜落Yeluo,UChDiqHRl8FX8b4SBKrSNfPA,https://www.youtube.com/@yeluo_vtuber,2019-05-07,68,6171,74,
炘炎少主🔥Vtuber,UCab3RhYCRIm9fq9EjOsL5ug,https://www.youtube.com/@sinyanwaka,2013-06-23,165,2957,73,
招福 CHAO-FU ch.,UCid3ZJZt-NdCQj9dSKC_eVg,https://www.youtube.com/@chao-fuch.7689,2021-06-29,28,1536,74,
Tomoe Ch. 槻智惠,UCS4bevljXL5p70qbMPxpcyw,https://www.youtube.com/@tomoech.4649,2021-11-13,12,1135,75,
Mena•W•Hata 玫娜哈特,UCxww2tcg75C1t8UB2E4XtYQ,https://www.youtube.com/@menawhata5354,2021-07-07,27,1982,75,
Shioka Ch. 天海汐夏,UCqpggR5bxlzmEUHMzHiTy3A,https://www.youtube.com/@shiokach.4260,2021-04-16,13,857,76,
理米 LiMi ch.【梅錢買米】,UCvV7vE20AzyIkjFq7yr9gUQ,https://www.youtube.com/@limi0606,2022-11-10,16,776,89,梅錢買米
牡白Aminra,UCj0kR1UXEuROcOkGm6PsLZg,https://www.youtube.com/@aminra1262,2021-08-07,39,3018,76,
輪墨十三 Samsara_XIII CH.,UC4V9TsrtZJZ-izUVJU2PgOQ,https://www.youtube.com/@samsara_xiii,2021-08-10,56,2019,76,
HAHAmida,UC3e-ckJae2zeQVXPMqDsaxA,https://www.youtube.com/@hahamida4362,2022-02-02,15,586,78,
琥橞里 KoEri【香港vtuber】,UCTk_W5RbapTcqYX4WRT8-og,https://www.youtube.com/@koerivtuber7052,2021-07-19,29,1424,77,
鸿夜HongYe Ch,UCNOiQ13nGd2wXTgHNq4NUBQ,https://www.youtube.com/@hongye9487,2022-07-01,31,549,77,
夏心嵐,UCzKR5VA-6BUMj24bt3V_-mQ,https://www.youtube.com/@user-os6nj5cy5j,2021-06-19,43,736,77,
綿醬,UCG0IXuM-GTUI0_trD533K2w,https://www.youtube.com/@user-ul4nu7ch3m,2021-06-25,112,4234,77,
Zhanxi ch.盞曦,UC6Z7p-C4lUYImqlBuenfv4Q,https://www.youtube.com/@zhanxich.8447,2022-02-21,7,1643,79,
鈴悉Lindsay,UCoPt1m-JGuyizQqPA3FPvTQ,https://www.youtube.com/@lindsay_1014,2022-11-16,8,685,80,
KitaRei 樂伊 Ch.,UCux2RRYkexE04iaVZFC8rWw,https://www.youtube.com/@kitarei,2022-07-10,34,3262,79,
BeeEe,UCoKp8LcoqALte-O7H93xqhQ,https://www.youtube.com/@beeee11,2021-10-23,15,601,80,
小夜子,UCaEt9UJ2A65N8d-20Dv-esQ,https://www.youtube.com/@user-dg3tn2jt6d,2014-05-19,19,747,80,
凜焰鹿奈 Kana ch.,UCDbxmrUp1D4tP51A07LhyCA,https://www.youtube.com/@rin-en_kana,2016-08-08,24,898,80,
