頻道名稱,頻道ID,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
Farah Adiba Ch.,UCRa5yHdSj6tZgnq4ckUo6FQ,https://www.youtube.com/@farahadibavt,2022-01-02,42,36823,1930,
貓神夜珞璃 Rakuri ch.,UC9zw1H2q0ZHZ_XoxE--lAvw,https://www.youtube.com/@rakuri0707,2022-02-08,85,33277,1600,
Unagi Ch. 花宮うなぎ,UCGxidH2oLXuTgfDqMG7d2hA,https://www.youtube.com/@hanamiyaunagi,2021-01-11,2,758,605,PRRU
菲魯Firuru,UCyTgqVBsL7I7MIQBm501T7Q,https://www.youtube.com/@firuru3348,2022-01-27,104,4691,151,
浣熊 KinaRira ch.,UCqT27TXzyWJKtm_WrYoQXXw,https://www.youtube.com/@kinarira_hkvtuber,2012-09-02,34,5809,435,
Haruka Ch.千影はるか【HKVtuber】,UChgHxoVMzD_i7SimpOvJEMg,https://www.youtube.com/@harukach.hkvtuber7603,2021-02-11,16,5809,398,
Kobayashi ch.小林,UCbktNCR917PUlZEqZXfWIcQ,https://www.youtube.com/@kobayashich.5745,2021-07-10,177,23527,702,
烏萊 Uriah Ch. 圖奇備份站,UCSx9PRaj7wvN8gh0-JEhhiA,https://www.youtube.com/@uriahch.0616,2021-12-11,4,547,129,
Tomoe Ch. 槻智惠,UCS4bevljXL5p70qbMPxpcyw,https://www.youtube.com/@tomoech.4649,2021-11-13,12,1135,75,
李亭襄,UCB0dbHnZ044lKq_4eGQDmZA,https://www.youtube.com/@litingshiang,2021-02-25,136,24564,344,
Weaver Wisford ch.威沃爾·威斯福,UC2EqMOAuVbnYMFIMtRXXyVg,https://www.youtube.com/@weaverwisford.,2014-04-02,252,37604,185,
望月ルーナ  Mochitsugi Luna Ch.,UCKiWJEjJw-zGW_Co_kJt5dw,https://www.youtube.com/@mochitsugilunach.7603,2020-12-19,165,128164,3340,幻花茶屋
裴妮 Penny VTuber,UCR2LIaXHeOliuGbstrCevFw,https://www.youtube.com/@pennyvtuber,2022-05-29,167,418779,18300,TSA Studio
貝爾·米塔,UCeh8o67A9Yo82fkw0VVsexg,https://www.youtube.com/@bellmitach,2021-06-09,263,39013,1340,
柒玖 ナナキュ Vtuber ,UCgczpgzCSjKZ7dChKCj0Wqg,https://www.youtube.com/@sevenine079_vt,2021-08-03,48,19244,1720,
夜羽 Night feather Ch.,UCINTOjYxscIeBgeNQQ63sZA,https://www.youtube.com/@nf1722,2021-01-18,230,12468,258,
狐依琉璃,UC8yy2F8uezJ4uOVLTWWqsQQ,https://www.youtube.com/@sakura_wa01,2021-05-11,83,5689,195,
Zombie Di ch. 喪屍迪,UCVI3_BzyIi33nUivbCF1l9Q,https://www.youtube.com/@twdidi,2022-02-25,463,117629,2110,
麻糬山丘 MochiHill Ch.,UC2HejkTaAD5O0VrRXjdpXxw,https://www.youtube.com/@mochihill,2021-05-18,318,113004,3140,
AceLan Ch. 阿斯嵐特,UCxkoY5EkJkJ89LPkTIDEGRg,https://www.youtube.com/@acelanch.7414,2021-12-10,30,6427,445,異世界瘋食堂
Hinoki ch. 灰原ひのき【HKvtuber】,UCKAMDIZlFFko1xssiXExz3A,https://www.youtube.com/@hinokich.hkvtuber1674,2022-01-31,4,952,329,
土芒果社-芮德‧哈特‧希斯特,UC_pQrqWJKPsFu7b2mGk1X2Q,https://www.youtube.com/@tmg_rayray,2021-09-11,111,22641,759,土芒果社
Sei Channel,UCShBkhfMkOZDCMC3ZwTbA-Q,https://www.youtube.com/@seichannel1370,2020-07-06,6,1362,131,E.M project
庫麻Kumma Channel,UCUMwanMztK0Y-T-ns3bMR0g,https://www.youtube.com/@kummanote,2020-10-31,596,594810,10700,
白芙音BaiFuYin ch.,UCxWvotQmxO3Br9NpZyjg-_w,https://www.youtube.com/@baifuyinch.6517,2022-02-26,106,10013,667,
彭奇Ponchiぽんち Ch.,UCLtQucBsU-L1C3dRmjXIt0A,https://www.youtube.com/@ponchip530,2022-02-09,118,2335,96,
莓芊時戀💖Ichigosen Tokikoi Ch.,UCJVe_TIWA-EE1Tz9HJbB3zA,https://www.youtube.com/@vtb.redpanda,2021-08-31,256,123741,5070,日落時紛工作室
水琴五月【HKVTuber】,UCebVkGYp3gTVjycSBMJav3w,https://www.youtube.com/@mikotosatsuki,2021-04-30,191,51153,1190,
Lord Ken 肯爵爺,UCZ2_49B9-0zqSvrPkdMReGA,https://www.youtube.com/@lordken,2015-08-13,50,10137,411,數位卡夫特
 羽生【AUNeed:】,UC0CL7la6qAjW9LyCAlDGrtw,https://www.youtube.com/@auneed8605,2022-03-09,71,89980,2430,AUNeed
九條雪怜 setsurei,UCckyvBoOAtUOJ1JR8NOernA,https://www.youtube.com/@setsurei0227,2022-06-09,35,4942,310,
Mobula Fasten『SweabsMY』,UCKqffMWEwsZCDzi6z1bhy4Q,https://www.youtube.com/@mobulafasten,2011-01-29,289,48296,813,SweabsMY
 Yomi Ch. 四巳,UCcVv0guQlC8Q-jMmsAQADsQ,https://www.youtube.com/@44yomi44,2022-11-06,34,1806,108,
SxC Ch. 巧莓起酥,UCOUw2PkiemR-hdf2DszrdNw,https://www.youtube.com/@sxc_ch.0423,2021-11-28,184,26564,693,巧莓起酥
冬至先輩,UChKBYU29aRFqjcrJNwaX4xQ,https://www.youtube.com/@toujisenpai,2014-03-19,28,898,104,
村田苗 Murata Nae Ch.,UCabQQq9Jy4gtCij38EdsHKQ,https://www.youtube.com/@murata_nae,2012-02-26,216,9139,202,
Relive_舒狐 Sofox,UCFx2E1YgFJGaFF-ekz0lwHg,https://www.youtube.com/@relive_sofox,2022-05-15,128,74212,3410,ReLive Project
零肆04 Ch.,UCNZyvI_TjyJyBVtdHEsO7HA,https://www.youtube.com/@v04_hk,2021-05-09,196,62585,1550,
茉莉【香港VTUBER】,UCGuRcsrHEiMhMWFYrLlnKhA,https://www.youtube.com/@matsurihk,2020-09-30,102,7146,222,
王顧採 Ch. 六埕順揚宮 主委,UCDK61SWPrZm3PDj8RohAM-w,https://www.youtube.com/@chiveswang,2021-06-06,226,147781,4930,Lamplighter5
布雷諾 ·ブレノch.,UCX1qUOVF99_PJVUY7ZYq3yQ,https://www.youtube.com/@layno_renewlive,2022-11-17,61,26368,1450,RenewLive
阿媞蜜斯 Artemis RS08,UCtjHWKfwvT0Th-2Ved9fhWw,https://www.youtube.com/@artemisrs0823,2021-06-21,52,12713,1000,數位卡夫特
Zero Ch. 老米ゼロ,UCGl_9C_RqytBwvdIaZq9zFA,https://www.youtube.com/@laomi448,2021-01-28,28,12086,537,
卡羅路斯男爵 Baron Karolus【HKVtuber】,UCGUEjJpbqkaXlJQYyiceZyw,https://www.youtube.com/@karlocarno042a,2020-06-27,161,103267,1510,
Ryujin Hibiki Ch. 龍神響,UCBtpVCz2PrJtHWxkLRRY2kw,https://www.youtube.com/@ryujinhibiki,2022-05-07,9,546,47,
石狛海栗 Isikoma ch.,UC66ycGBFoil-mxIqW5lPc6Q,https://www.youtube.com/@isikomach.7099,2021-07-10,115,10677,446,
彌里玖·ミリク ch.,UC3yH88EaybiapvUaUbHEsMQ,https://www.youtube.com/@miririririku,2022-11-30,61,36480,2240,RenewLive
但但 Dan Dan Ch.,UCkGLJWP8pEa22yIrDBEkmoQ,https://www.youtube.com/@vvdan_danvv,2021-07-11,183,28709,1200,異種族集會所
Yuki Nyanko,UCC1YEjjgaq7eA9Ow2huADjQ,https://www.youtube.com/@yukinyanko,2012-04-26,30,9303,117,
ShinのVtuber日常,UCxy7FuvDFYA9-mPM8DdCoUw,https://www.youtube.com/@shinvtuber4020,2020-08-29,342,15488,266,
雨嵐Vtuber,UCmCPZuPZHTLrDIiSJIRbhBg,https://www.youtube.com/@vtuber8537,2020-07-03,17,5275,458,
艾露緹娜エルティナ,UCwnQ3FZFxhHg_mL_UCnMUDQ,https://www.youtube.com/@user-fi7ed3xg6z,2021-01-19,19,3704,1290,KARE Studio
DEFAULTKAVY 默认,UC12xGOiKVMyvOGTbRLf8sjg,https://www.youtube.com/@defaultkavy.vtuber,2020-07-08,392,46041,782,异世界公会
Lilith Ch. 血姫リリス,UCQhe1K7M85dQ0Oxp7ediO2w,https://www.youtube.com/@lilithch.8974,2021-02-19,81,7713,221,
Wani Zavir,UCa_-DbZX75w0fggs5Jak1Pg,https://www.youtube.com/@wanieyuv,2021-02-16,34,15284,1370,
詩雨蔻達 Shiu Coda Ch.,UCuPHlMEd0cR-tvAYPjGWVwQ,https://www.youtube.com/@shiucoda,2023-01-12,41,171871,10100,魔競娛樂
赫斯珀 奧星 Hesper Ostar,UC63OF-OK3IL33kZi2HZRi1A,https://www.youtube.com/@hesper,2021-06-18,156,55802,1120,
達可普普,UCxVl5AILVVZkAJ5jG-DT9oQ,https://www.youtube.com/@user-jh3xb8lv6f,2022-05-27,3,305,42,
Yuzuka Ch.柚香ゆずか,UCugedmKaBpXqBauc3Lu0oYw,https://www.youtube.com/@yuzukach.2458,2020-12-11,47,6469,645,
克希Chrissy Ch.,UCzgXKQEgE8r3TY2JFYiiZgA,https://www.youtube.com/@chrissych.8770,2021-06-06,120,19932,787,Lamplighter5
沐幽 MukJau Ch.,UCfoMwae0lnAbsuq7NBy3nuw,https://www.youtube.com/@mukjau,2021-07-02,3,1901,471,
Rinna Fox | 粉紅狐 Vtuber,UC_ILDd9hmRgR_7Kedxo1UVA,https://www.youtube.com/@rinnafoxvtuber5987,2022-07-21,10,168,7,
熙亞 Elicia channel,UCDgLScOKKGS-k4nuElKyoCQ,https://www.youtube.com/@eliciachannel,2021-08-03,16,2646,411,
Elidi Hex,UCLsbbsaRWHcnD7N8Gm-_ANg,https://www.youtube.com/@elidihex,2022-09-29,49,2032,56,
綿貫純惠,UC992c3VruNlDkyy2n0sdRHg,https://www.youtube.com/@sumieeechannel,2022-05-09,41,2606,139,2VR_Studio
Izayoi ch.十六夜‧ルシフェル,UCn8Zne2bz0dILU3naIpZWsA,https://www.youtube.com/@izayoich.0811,2021-08-27,320,23917,853,
魍魎部ch.渾沌山田&白澤尸尸,UCiMa509Rn-6XpGAklE_guMQ,https://www.youtube.com/@konandhaku,2021-04-03,131,10154,215,
夏狛哈哈,UCXS2SawTDeN7CmHjVlAVF1w,https://www.youtube.com/@hahhasky,2021-03-18,98,21726,849,
Miku Ch. 猫宮ミク,UCG1hqfsvqxm6LjAIFNPrOWw,https://www.youtube.com/@nekomiyamiku,2021-01-20,255,45104,1860,
羊酥酥,UCKZBwy9VPiuH76X87LBtx1g,https://www.youtube.com/@user-cw7je5ti4v,2020-10-02,67,54690,497,
菈比RABI【雛森ラビ 】Ch.,UCmYQZhZEiprc1ndacGurt0w,https://www.youtube.com/@rabi0620,2022-10-02,103,61420,3660,Silva Live
幻花茶屋,UCNO4BX9z_w8o1l-VFsKdS5g,https://www.youtube.com/@hkvtopia,2021-06-14,41,94154,2650,幻花茶屋
雨宫南Minami_Official,UCVwfGHD_oIRUJRS7di6QVaQ,https://www.youtube.com/@minami_official8700,2021-08-31,8,3415,390,
夏洛特．帕芙 Pafu Ch.,UCP-xYlnoFRG1xc3sbq4ntCA,https://www.youtube.com/@pafuch.9673,2013-08-05,23,5987,4990,
夏心嵐,UCzKR5VA-6BUMj24bt3V_-mQ,https://www.youtube.com/@user-os6nj5cy5j,2021-06-19,43,736,77,
流川莉蘿 Rilo ch.,UCCJqTW2XWGbN1l5jYMd3zMg,https://www.youtube.com/@riloch,2022-01-31,191,207156,11000,Studio Sailng
YuYu Ch.魚魚,UCNo67quV2yrllDLBxj2RKag,https://www.youtube.com/@yuyu_0103,2023-01-05,3,1069,110,
彌艾MiAi,UChXS2swXfUqXy7cldGCNPVg,https://www.youtube.com/@miai,2015-10-26,47,3370,517,
QuareSu Ch. 鼠桂兒,UC0M5mnxgCQC2hPD0NIsHZ3g,https://www.youtube.com/@quaresu,2021-12-11,66,8629,756,
水兎 Suito ASMR Ch.,UCfLtNHc1W78VmN736gWCI4A,https://www.youtube.com/@suitoasmr,2022-03-04,74,13904,863,
石綾&BB CH.,UCPWpmVbpP5d9glUc9mjz9vg,https://www.youtube.com/@bbch.6395,2021-09-08,2,242,118,
千島ねう-Chishima Neu-,UCY9ImsIlHIcbnd4eji5QSfg,https://www.youtube.com/@-chishimaneu-9603,2022-04-17,110,1944,141,
NAGi ch. 七星ナギ ,UCYfTjSVe6-y-Y_x-t1GX2Ug,https://www.youtube.com/@nagich,2015-12-28,146,57408,1700,异世界公会
Sara Ch. 紗羅 【群星計畫 / 比鄰星域所屬】,UCZuQvHMvbkuPOT8MpDVgh_Q,https://www.youtube.com/@vtsara0326,2020-11-19,327,172298,6020,比鄰星域
亞姆Yum ch.,UCIMTxpt6zEqfU1OHYEL6wBg,https://www.youtube.com/@yumthedragon,2021-06-17,147,31403,1060,
hiyori ch.月宫 ひより,UCmjzgsyPImGeRxfShphgNlg,https://www.youtube.com/@hiyorich.7617,2022-08-24,68,610,13,
布蕾克 Blake ch.,UCfOh2KEXKvgIj3bs6H8o_fg,https://www.youtube.com/@blake_rose,2021-06-10,109,23460,1090,
Kilin Ch. 麒麟 / Kilin's Artwork,UCagMyeOwiiCvknElRC0_cGQ,https://www.youtube.com/@kilinsartwork,2019-12-07,260,284149,7940,Mirolive
Amamiya Yume Ch.,UClQot-XYs9KQ2fmItSz4IjA,https://www.youtube.com/@yumechannel2020,2019-12-05,343,255450,7900,
羽田鴆 Chin Haneda,UCwTtjd8Xi8GhwQmEk6z1niA,https://www.youtube.com/@chinhaneda,2022-04-28,41,769,66,
海克莉絲  HercuLes ch.,UCNq94QHAnn-zCxXQYpvPk7A,https://www.youtube.com/@herculesch,2021-09-30,279,261174,7750,
LongHua Ch.  曨華 ,UCU4tfIl5S8959zBFy5WbFCA,https://www.youtube.com/@longhua_v,2021-05-12,235,18711,434,
鴨米,UCIittFh8XPoDnTfj5QHA0Iw,https://www.youtube.com/@yami_verywife,2018-09-22,141,18651,816,My Friends
Libbi Rico 莉比🥚莉可 ch. (⁰⊖⁰),UCD9IXLD8Qr2psaSJ9atQq6A,https://www.youtube.com/@libbi_rico_,2022-10-14,49,9886,715,
煌煌x遊戲王系VTuber,UCBZNHzMvze3twALODcCIBVg,https://www.youtube.com/@ygoocgstoryteller,2019-04-02,60,260809,2010,MOMOMO團
ÊdgeXD ch. 艾曲,UCKSic0nOuD_7fzBk8FHfNVQ,https://www.youtube.com/@aiquxd,2021-02-14,477,14883,200,
Miyu Ch.日向咪悠,UC9Pjdtlpr447On2EB2IbUIw,https://www.youtube.com/@miyubiggg,2022-07-10,24,4160,279,
亞德薩達格Yad-Thaddag Ch.,UC8ilHKp2vLq6HdX3UevixWw,https://www.youtube.com/@yad-thaddagch.9500,2020-12-31,278,26424,691,
帕蘿妮 Paroniie Ch.,UCChAHq4kdRZ0FJ1Jfjvr9cw,https://www.youtube.com/@paroniie,2023-01-09,41,318035,16200,魔競娛樂
ichigo ch. 羽川莓,UCYzIH8nuxrrs2FSFNFeSN6g,https://www.youtube.com/@ichigoch.7241,2020-11-14,83,7318,391,
希莉亞 Ciria.ch,UCOpI60ey2pDJnmV2T351AOg,https://www.youtube.com/@siriyach,2021-01-14,181,195546,3260,
風鈴芽依TrumpetMei,UCqGc7k1n0qX6fdaheGtUm9Q,https://www.youtube.com/@trumpetmei,2022-12-20,2,169,36,
森野久智Morino_Kyuchi Ch.,UC5IyFEQJlrl0m6HOlP9pyqQ,https://www.youtube.com/@morinokyuchich,2012-07-04,158,14458,613,Destiny Live
雪城ユナ Yukishiro Yuna ,UCZapP4lyWALpSCPSYHRVMrQ,https://www.youtube.com/@yukishiroyuna1225,2022-02-24,49,13205,1480,
Virtual-Neet Meko,UCfVrAUe2kU4QL6CD_0rr9jA,https://www.youtube.com/@virtualneetmeko,2019-09-05,250,23044,404,
七空赤龍 Ryū 閃現系V,UCpDiNJzR8yw9znSETqk3YdQ,https://www.youtube.com/@ryuv794,2021-11-06,34,1067,36,
Wakabi Ch. 朔夜わかび,UCG3PIWp2Z8AenPdD5MeAfkg,https://www.youtube.com/@wakabich.0627,2021-05-26,12,853,618,
悠璐Yuru,UCmLnlzVnzZqxCNLzG_u4-rA,https://www.youtube.com/@yuru5525,2022-02-26,18,585,47,
DeluCat迪鹿,UCb0gOL3Ow7srd71q2AK8Q3g,https://www.youtube.com/@delucats,2016-02-03,217,54719238,398000,彩色學校
Awu Ch. 路人戊_阿戊,UCQ2eH4bhU9DD1fq0dGXVuYQ,https://www.youtube.com/@awuch._4342,2021-05-27,143,628,5,
六Roku Ch,UC1SC5nEF7cQZbVYVONm1wMw,https://www.youtube.com/@roku0106_,2022-12-29,37,8108,302,
天巡なき 4/6----【HKvtuber】,UCaIcUHrS0R02mLvQ8qq94LA,https://www.youtube.com/@nakitenjun17,2021-08-10,83,9267,440,
晏海 ch.,UCazeznF0ZW75WsHT6mEofdA,https://www.youtube.com/@zom_yenhai_zom,2022-02-01,36,1046,318,
什草ピーター🌱 ch.,UCmmPAEt81NSD7JH5zs5NY9A,https://www.youtube.com/@ch.4606,2019-05-24,43,22224,327,
亞茲凱龍 Azu Chiron Ch.,UCLiijofgtev1OlA64RUYz3Q,https://www.youtube.com/@azuchiron,2020-04-04,211,19667,300,
Sumi Ch. 蘇米(すみ) 【浪海數位 RiyarDigital所屬】,UCU6G8V1wfR1snWCYXjUUCBA,https://www.youtube.com/@sumi0303tw,2021-07-07,186,115253,3860,浪海數位
Bobo Ch. 波波,UCSu05mqOOANQKqCzfIsWbBg,https://www.youtube.com/@boboch0528,2021-03-11,283,33937,1060,
咩D ch.,UCs5XRqtA4b17vpdRvC3lqQQ,https://www.youtube.com/@dch.8656,2017-02-03,118,20875,437,
Tesserakt Zero,UCAu960LDQOmfZ_hq96gZ9eg,https://www.youtube.com/@tesseraktzero,2019-11-16,14,4760,106,
Nora Ch.ノラ,UCfqlshHBIXr9KNjRp1fwVgQ,https://www.youtube.com/@norach.6568,2021-04-02,3,1682,239,
滴滴,UCQ7mfvrBdILyKtFAERcbXzg,https://www.youtube.com/@-dongdong,2021-12-14,1,145,218,
斕想 Lansh,UC13kIQww3Nb15AaVbNgoSkQ,https://www.youtube.com/@lansh3482,2021-05-28,64,11947,275,
泉生モチMochi Ch. ArkV MY,UC962_jpS7E7UFY7cSjgHwPA,https://www.youtube.com/@mochich.arkvmy8046,2020-12-24,206,7934,340,ArkV
Baiyin Youxuan Ch. 白音悠玄,UCpOZff0H8taJDDM2bEW9JzA,https://www.youtube.com/@baiyinyouxuan,2021-12-08,74,11369,578,
語風薯薯撿到貓 Kazeimo Ch. 【終焉理想庭】,UCLHSj-ZnzmpQlZuUcnXMoVg,https://www.youtube.com/@kazeimo,2009-01-18,3001,13767431,25600,
魚翅_Yuuya,UCywmH7v3rzaRAVm13HYGo2g,https://www.youtube.com/@_yuuya4416,2020-12-14,61,2061,158,
En ch.,UCcYxUF_Wev7U7H9F9cSn_TA,https://www.youtube.com/@ench0528,2019-09-15,599,164041,3700,Stardust Live
草加子Eggplant ch.,UCut3ezULZJ_bix-HAl-jHZg,https://www.youtube.com/@eggplantch.2726,2021-06-19,186,66277,4650,
猫屋田幽霊,UC1AtF4gbav5hgPrFFzptM9Q,https://www.youtube.com/@user-rc2du4cv3i,2012-07-04,30,239,27,
赤月红 Ch.,UCDgri0gzgrgnvIjM0N-q6KQ,https://www.youtube.com/@littlereddd,2021-04-10,106,5344,144,
庫洛姆•Kuromu【SODAART】,UC2ZWggon1NOT2TGaVUMzY7A,https://www.youtube.com/@kuromuono,2021-01-20,293,91957,4220,SODAART
yukisorahyakune  雪空百寧　ch,UCkJ0spX5DFiuK3zlKp1qr-Q,https://www.youtube.com/@yukisorahyakunech3704,2021-12-14,39,4952,319,revoLiVE
夏煦 【XiaXu】,UCVdlKCHGqBlGpuMYJ7DCz6w,https://www.youtube.com/@xiaxu0416,2022-02-09,4,470,109,
Zssa Alton Ch. 之沙Zssa,UCx8vv99VRAJIkH8Ovv9HlNw,https://www.youtube.com/@zssaalton,2015-09-06,30,527,51,
凡笙弦語 F.S.XianYu Ch.,UCVPKt4KgaOuw6VTfMlxwLdw,https://www.youtube.com/@f.s.xianyu,2021-06-10,177,62335,2080,
星合 豊/Hoshiai Yutaka ch. 澳門Milspec_Vtuber,UC78H1-PzQhxSaWBK8XCKOhQ,https://www.youtube.com/@hoshiaiyutakachvtuber,2017-02-13,527,21919,362,
撇嘴耳包前滾翻,UC6_38mg79k2C8HiHqOaf8rA,https://www.youtube.com/@yahrideerear,2019-03-16,245,189254,3110,MOMOMO團
希爾艾姆 hirum ch.(轉移至圖奇),UC7uqtUmvZTvLY5WbH_oBw_A,https://www.youtube.com/@hirum0405,2020-10-14,479,101321,2820,
亞實 みのる【HKVtuber】,UCq0QsKOxNAHIR6aXpAJfRIQ,https://www.youtube.com/@minorumola2,2021-11-26,113,16884,375,
Relive_魯波 Lupo,UCTzWMDbXbQAEJufwbHMP31Q,https://www.youtube.com/@relive_lupo5823,2022-05-15,208,129093,4640,ReLive Project
可可慕斯Mus_183公分系vtuber,UCfEhNUur3aMVjD95Gd1_kGQ,https://www.youtube.com/@cocomus0904,2020-02-17,1,1482,1120,
水天一色 繪圖兔兔,UC41Tg1C9qvMiWiRz6uj0WPA,https://www.youtube.com/@mizutenisyoku,2011-10-09,324,18206,145,
願願の遊戲頻道,UCgPT7xfMe9Nr1evZq3N-uqg,https://www.youtube.com/@user-yl8jt4ld8y,2021-06-04,31,10010,2110,
貓宮結乃 yuno channel ,UCF-YJRxOvIIFdWQRPS1oOhw,https://www.youtube.com/@yunochannel4165,2022-08-09,24,10251,837,
寺呈 SiCheng Ch.,UCR0TE-3T0D-jaov7_WheBhw,https://www.youtube.com/@sichengch,2021-10-04,123,32753,470,
yuzzmi Ch. 有・柚実,UCQLfrGPnx1Es7WCiRd7Iyeg,https://www.youtube.com/@yuzzmi0110,2022-09-16,88,26434,1150,
Zuo Ch. 狼左,UC2_BC4r3BTYET6pUK5KyCGw,https://www.youtube.com/@zuoch.3739,2021-05-16,187,44500,893,
泡芙Creampuff Ch. ArkV CN,UCoNnfgjIlRuOHDnhObJffVQ,https://www.youtube.com/@creampuffch,2021-01-08,184,22692,860,ArkV
歐姆璐璐 Ohmruru【深層星工作室】,UCT30dM3EDAeu9uhaGDSV6ow,https://www.youtube.com/@ohmruru0603,2022-12-18,19,6135,677,深層星工作室
Kiki Ch. 白海キキ,UCh4gi2VqTQsLCPIbRJZ3V8A,https://www.youtube.com/@kiki_shiraumi,2021-08-22,200,104480,3450,異界冒險團
Ruby Ch. 月見露比,UCHjjy8hu6UUeQAPd7TZPqqA,https://www.youtube.com/@rubymua,2022-03-09,96,123768,7260,波塔學院
月下懶貓LunyMeow,UCMQvHl3Q79wLR1QieIwCQSg,https://www.youtube.com/@lunymeowvtuber,2020-07-22,11,4233,466,
艾麗Ellie Ch.【巷口工作室】,UC9nhI7lx-K7SMkaZluSaKUQ,https://www.youtube.com/@elliesharkkk999,2022-06-30,82,17155,931,巷口工作室
囧囧龍DoraJon Ch.,UCSRz6iTGqIFWNKj9vdCTZeQ,https://www.youtube.com/@dorajonch996,2021-03-04,302,59529,1580,
夜瀬ゆうと - Yoruse Yuuto,UCk6E2jIdJJXz4ch6HvUyzEg,https://www.youtube.com/@yoruseyuuto,2020-12-27,146,6674,116,
鹿原 凜_CH.,UCxK9Tx3X5hWjzhsHvrogG5w,https://www.youtube.com/@ch.kahararin,2021-05-24,176,25054,896,
走路馬卡龍,UCjZjxxhVnMQmsmhISW9iqtQ,https://www.youtube.com/@user-sn7zr4gw6c,2014-04-19,16,2812,199,
Raymond&Bianca / 雷蒙&碧安卡【加百列小隊】,UCUp7RACvGtYc4MIccpoa8Sg,https://www.youtube.com/@raymondbianca227,2022-09-09,13,1855,62,
慕晴MuQing,UCu9fr1C4zVazXO-Tl-J0tFg,https://www.youtube.com/@muqing_official,2021-05-30,300,77690,2170,
卡西Casi Beluga ch.,UCysUkbjDtaZ0TwiZTFpAS8w,https://www.youtube.com/@casibelugach,2021-09-06,213,68029,2400,滴魚先生工作室
墨玖璽   Merujushiru,UCaGIYZVczDbiPLMcru3ivXA,https://www.youtube.com/@merujushiru,2021-02-02,49,16765,191,
墨寒,UCDGexEpqBRw7uKHTMvOR0OA,https://www.youtube.com/@mohan_vtuber,2022-10-07,155,49437,479,
白希 Hikuto Ch.,UCWJaPkXGey_lLPotOGeMZ5A,https://www.youtube.com/@hikutoch.8376,2017-08-11,143,13380,475,
鷲峰良 - Washimineryo,UC-KMgJ1wl9DUV63HiUSGOXw,https://www.youtube.com/@washimineryo,2021-12-08,238,1062812,26600,
雪戀蝶(Kay蝶),UCBZtLXUnSUejviUERPwdrkQ,https://www.youtube.com/@kayho0831,2013-03-20,119,4712,355,
蛛楠·柏葛Junnen·berg Ch.,UChte2KZvAsxoBhy6M1XGODA,https://www.youtube.com/@junnenbergch.8170,2022-04-22,10,622,180,異世界瘋食堂
XiaoKang Ch. 小康,UCjvz_CpYdEGdyiFI8mlWnMg,https://www.youtube.com/@xiaokangch.,2021-11-13,85,1715,49,
猫村彌音,UCcyhk3nucWWuLs45Iatndyg,https://www.youtube.com/@mine_nekomura,2021-01-13,276,59820,1450,
青円炎也AomaruEnya Ch.,UC8uc1j0Jc4wfb6qNmGgYLuA,https://www.youtube.com/@aomaruenyach.7543,2021-02-16,92,3577,134,
Stardust Live,UCsToerHLrCc7d1xxmQ_ZQTQ,https://www.youtube.com/@stardustlivevt,2022-11-17,2,478,138,Stardust Live
瑞斯柏·芭樂【StRineOffice】,UCsfnNXFXulW8a5lAFD_UeGQ,https://www.youtube.com/@dadadabale,2022-06-25,4,497,51,
雷門達也 Raimon Tatsuya Ch. 【爆肝系HKVtuber】,UCmIgns1R5DvBLANGZqNG3tA,https://www.youtube.com/@raimon-tatsuya-hkv,2015-06-16,744,30521,502,
【虛擬廢言】 Pneumonia Ch.,UCmZWGAQS3HI_MjnH2thlMdw,https://www.youtube.com/@pneumoniach.772,2021-05-21,9,24921,1410,
懷特貝爾 / L. W. Bear,UC_LJMiIRdlL1j1J1ppQOatw,https://www.youtube.com/@l_white_bear,2022-07-05,81,1532,89,
花澤琳奈,UCsJwVS3pqJ3ws4F0u1x5Z4Q,https://www.youtube.com/@hanazarinna,2012-05-13,1,2,108,星月神社
蕾比梅里諾Rebi Merino,UCt0VUCJFrMLMk6i8hzikoyg,https://www.youtube.com/@rebimerino,2021-08-26,19,4861,267,
神生璃空 Riku Ch.,UCsssop6thCr_P12H4WX7eIg,https://www.youtube.com/@kamioriku,2021-04-14,24,3259,132,
Nekokatsu ch. 貓排ちゃん,UCf1nJ_DG0M3HXqkMfQXqXkg,https://www.youtube.com/@nekokatsu_0104,2017-10-06,253,11336,520,
- 欣希亞 Live     💜【台灣Vtuber】-,UC6Tm95waoh3j4xT9vYsM4sQ,https://www.youtube.com/@cynialive,2020-01-02,1071,435415,6990,
Can Ch. 罐罐,UCoSGr8sdbve0cc8aXs4t4cA,https://www.youtube.com/@canch.870,2018-01-13,753,155823,2140,NPC
葵栗鹿鹿 Kuiri Lulu Ch.,UCaQ9pwo2I4CZNX5XVyJhcAw,https://www.youtube.com/@kuirilulu,2022-06-15,111,24427,1170,CormaNewMedia
King Claude Ch.,UCnJQWz9bx6PHrWu8caOUb1A,https://www.youtube.com/@kingclaude1st,2020-09-28,51,4215,469,
Rina Ch. 梨奈 - HKVTuber,UCQaRgBna57iSwfP2eUOG7YQ,https://www.youtube.com/@rinach.hkvtuber0729,2021-01-24,138,110201,857,
草妳莓 ichigo Amy,UCDZzpEatiy7s8qCankKW0fQ,https://www.youtube.com/@ichigoamy791,2020-04-10,68,9935,492,2VR_Studio
